NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11363,91728,91712,90799,92711,89219,90443,97784,104792,101019,111094,98111
11364,73010,73079,72909,72344,72477,70408,71030,76988,82028,87135,90970
11365,57486,56131,55492,58990,59520,62509,63455,66483,67642,70102,73279
11366,77244,75729,71350,71692,72486,78223,67115,78990,84301,91795,100781
11367,50578,52199,56608,54218,56557,57310,58924,57933,63546,64332,71469
11368,46041,46325,45964,45014,45004,45980,47862,50797,54211,56904,62254
11369,56307,55553,53617,54181,52310,51864,53426,54121,54184,61860,66132
11370,57334,52489,52500,54196,53427,53293,59901,65098,63706,67582,67241
11371,-,-,-,-,-,-,-,-,-,-,-
11372,48400,47750,48683,46402,50485,52792,53963,56383,60659,61239,62910
11373,45585,44964,47667,49042,47588,45677,49098,51183,54584,56835,62072
11374,54339,54868,52532,50606,52132,55550,56863,63161,66795,75266,79221
11375,72394,72538,72000,71643,72414,72982,76467,80542,84713,88117,96321
11377,49415,49528,49886,49641,50436,51675,54989,57010,58948,59910,66325
11378,59472,58317,57474,56278,57127,61631,68460,73333,77710,82326,85464
11379,63511,67516,69843,71393,71551,75320,79573,82819,83883,89700,88672
11385,50811,51258,50799,53558,55331,60526,64481,72261,75340,77044,77350
11411,82703,81390,83099,81117,81149,81678,87231,93882,98207,104269,108131
11412,69796,71292,70672,70709,72458,71995,75307,78517,81608,85235,93429
11413,77352,77739,78667,80237,81287,80758,83459,86324,93432,91836,104236
11414,65049,65295,66790,69088,68374,70490,72632,71648,75471,75599,86113
11415,55515,60287,63549,64696,63756,64055,65981,68294,70900,75476,80360
11416,53821,55225,56724,58621,58392,59092,61285,67461,73370,73471,76477
11417,59810,61284,62086,61617,62057,66978,69989,73424,76868,79210,78498
11418,57899,58965,60691,61472,61480,63079,67003,66570,68920,73856,77708
11419,54829,53815,56735,55557,58266,62014,65711,70882,75835,79589,84245
11420,61587,60603,59832,57784,59660,61484,66220,67932,79273,85190,89027
11421,55120,57091,60897,61974,60996,64544,69053,72066,73107,77738,76721
11422,82525,85151,84824,83631,84955,85436,86996,89235,88130,93397,95945
11423,57751,61948,60892,60161,62179,66070,66455,70266,71194,70990,69386
11424,-,-,-,-,-,-,-,-,-,-,-
11426,78151,78415,82301,77917,77146,77487,83376,88803,98987,102770,102818
11427,69753,70438,70108,69847,66007,65494,72874,74581,79385,81688,84000
11428,73794,69758,69330,68077,67151,68675,71663,73699,78368,77466,83417
11429,75587,70478,68890,71208,68684,77037,80464,83240,88300,82532,89318
11430,-,-,-,-,-,-,-,-,-,-,-
11432,49929,50130,50450,49631,50702,52277,52975,55906,62148,66270,66246
11433,41274,43419,42887,44799,42964,45820,48795,51521,54253,62453,68801
11434,57027,57393,59229,58178,58076,57454,60702,62207,64087,65845,66546
11435,54086,53914,53041,52939,52686,55268,59535,64086,66137,69873,71346
11436,58925,60820,62114,61544,64005,66837,69259,75242,75222,72962,78306
11451,-,-,-,-,-,-,-,-,-,-,-
11501,80369,84864,79013,81930,89347,89956,90007,96079,101339,103809,113729
11507,97267,93681,90833,96048,111875,110400,118807,129613,133324,121861,139025
11509,106146,106250,109375,120385,135750,141667,140714,141250,126836,135938,143333
11510,100548,99755,98798,92518,93768,95786,102810,108761,115822,122090,126776
11514,85064,84970,84651,85741,97692,83750,88455,89074,82344,97113,113875
11516,82768,79800,85985,91250,95720,100347,98696,107440,109053,84421,94639
11518,94021,95991,92866,94475,92901,91343,92682,100082,90417,87596,96889
11520,71158,70516,67723,67188,72628,68945,71423,76388,82200,86070,100867
11530,128804,126354,135370,137788,139821,144479,151809,160598,168019,169323,169333
11542,68064,67548,67914,65671,68647,74472,75685,78339,80607,78242,82049
11545,133986,137302,146083,142107,142219,139485,149174,160464,163606,140563,150815
11547,93958,110667,97212,92361,115917,116071,96250,81500,80833,48636,-
11548,89375,101250,98375,103194,100893,120057,123056,133699,135385,131806,139167
11549,-,-,-,-,-,-,-,-,-,-,-
11550,56345,54776,53669,53935,57003,57497,59580,64097,64155,70728,76430
11552,97375,96323,98798,98056,97254,100326,108628,117069,122367,129091,133423
11553,74471,72431,75008,72207,70201,67152,69914,73424,79872,83570,91809
11554,91828,93607,92311,95071,94214,93855,94513,105192,106409,109895,126079
11556,-,-,-,-,-,-,-,-,-,-,-
11557,111473,114591,115516,118990,120617,114949,116754,126287,127583,137857,151107
11558,77740,79722,77056,70771,72292,87176,89715,90753,96368,103508,96710
11559,115217,114850,112862,114211,115252,114816,106597,108750,97392,96205,100617
11560,97083,99125,99278,94913,103594,110341,116875,129250,140568,149865,162625
11561,83563,86842,91984,89684,89252,88249,89050,96163,99240,112522,119731
11563,90461,86804,90896,90195,85194,81068,91042,97169,99947,117988,124978
11565,117002,115843,117500,114519,110110,106875,108656,120890,128301,130664,138192
11566,127125,126889,126532,125125,125992,133333,142862,149367,152337,152266,156929
11568,193452,212935,192500,196250,172750,170250,175833,192266,214250,224712,"250,000+"
11569,106688,107049,108664,109855,110398,114844,130547,153398,156750,-,-
11570,107694,111546,104503,109926,107442,106574,107111,118309,117107,121592,138733
11572,94755,96756,96563,98532,95750,103401,109944,115096,118480,116224,124688
11575,65946,68524,66922,62746,65890,75881,79232,80574,90577,90707,102908
11576,155570,156068,150161,152031,152910,157057,158125,162715,182199,203534,207548
11577,117803,115656,112552,121699,116667,120650,126830,139896,149091,159388,177833
11579,98281,100078,100250,105457,110696,113095,115822,121354,134107,160250,165938
11580,87314,87482,88771,93200,90536,98922,103475,109470,110575,118392,123750
11581,100359,102135,98113,94019,100787,95829,104795,108800,117200,126429,121442
11590,83782,86540,87894,89641,89083,92506,101095,102789,106959,113338,122078
