,house_number,street,zipcode,boro,latitude,longitude,type_of_violation,status,year_of_violation
745,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
746,521,ISHAM STREET,10034,MANHATTAN,40.866535,-73.918728,maintenance code violation,Close,2019
747,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
748,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
749,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
750,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
751,515,CATHEDRAL PARKWAY,10025,MANHATTAN,40.803336,-73.964707,maintenance code violation,Close,2019
752,785,MACE AVENUE,10467,BRONX,40.863162,-73.864119,maintenance code violation,Close,2013
753,785,MACE AVENUE,10467,BRONX,40.863162,-73.864119,maintenance code violation,Close,2013
754,1231,WHITE PLAINS ROAD,10472,BRONX,40.831445,-73.862052,maintenance code violation,Close,2014
755,338,SOUTH 3 STREET,11211,BROOKLYN,40.709289,-73.953719,maintenance code violation,Close,2013
756,338,SOUTH 3 STREET,11211,BROOKLYN,40.709289,-73.953719,maintenance code violation,Close,2013
757,101,POST AVENUE,10034,MANHATTAN,40.864261,-73.920824,maintenance code violation,Close,2013
758,510,RALPH AVENUE,11233,BROOKLYN,40.672034,-73.922299,maintenance code violation,Close,2015
759,608,WEST 184 STREET,10033,MANHATTAN,40.851245,-73.932807,maintenance code violation,Close,2020
760,608,WEST 184 STREET,10033,MANHATTAN,40.851245,-73.932807,maintenance code violation,Close,2020
761,608,WEST 184 STREET,10033,MANHATTAN,40.851245,-73.932807,maintenance code violation,Open,2020
762,3990,BRONX BOULEVARD,10466,BRONX,40.889347,-73.864004,maintenance code violation,Close,2021
763,3990,BRONX BOULEVARD,10466,BRONX,40.889347,-73.864004,maintenance code violation,Close,2021
764,3301,PERRY AVENUE,10467,BRONX,40.877017,-73.875373,maintenance code violation,Close,2020
765,153-28,75 AVENUE,11367,QUEENS,40.726184,-73.813062,maintenance code violation,Open,2021
766,153-28,75 AVENUE,11367,QUEENS,40.726184,-73.813062,maintenance code violation,Open,2021
767,3301,PERRY AVENUE,10467,BRONX,40.877017,-73.875373,maintenance code violation,Close,2020
768,153-28,75 AVENUE,11367,QUEENS,40.726184,-73.813062,maintenance code violation,Open,2021
770,6653,BROADWAY,10471,BRONX,40.909982,-73.896613,maintenance code violation,Close,2013
771,6653,BROADWAY,10471,BRONX,40.909982,-73.896613,maintenance code violation,Close,2013
772,6653,BROADWAY,10471,BRONX,40.909982,-73.896613,maintenance code violation,Close,2013
773,6653,BROADWAY,10471,BRONX,40.909982,-73.896613,maintenance code violation,Close,2013
774,6653,BROADWAY,10471,BRONX,40.909982,-73.896613,maintenance code violation,Close,2013
775,367,WADSWORTH AVENUE,10040,MANHATTAN,40.856321,-73.930178,maintenance code violation,Open,2021
776,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
777,177,8 STREET,11215,BROOKLYN,40.671604,-73.989535,maintenance code violation,Close,2013
778,2917,GRAND CONCOURSE,10468,BRONX,40.871349,-73.88895,maintenance code violation,Close,2019
779,2917,GRAND CONCOURSE,10468,BRONX,40.871349,-73.88895,maintenance code violation,Close,2019
780,1843,PITKIN AVENUE,11212,BROOKLYN,40.67058,-73.904803,maintenance code violation,Close,2013
781,2917,GRAND CONCOURSE,10468,BRONX,40.871349,-73.88895,maintenance code violation,Close,2019
782,2917,GRAND CONCOURSE,10468,BRONX,40.871349,-73.88895,maintenance code violation,Close,2019
783,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
784,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
785,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
786,242,EAST 79 STREET,10075,MANHATTAN,40.77385,-73.956292,maintenance code violation,Close,2019
787,86-08,ATLANTIC AVENUE,11416,QUEENS,40.686248,-73.855505,maintenance code violation,Close,2020
788,1858,BAY RIDGE AVENUE,11204,BROOKLYN,40.616113,-73.991345,maintenance code violation,Open,2020
789,33-36,102 STREET,11368,QUEENS,40.756804,-73.866447,maintenance code violation,Open,2021
790,33-36,102 STREET,11368,QUEENS,40.756804,-73.866447,maintenance code violation,Open,2021
791,1033,WHEELER AVENUE,10472,BRONX,40.824539,-73.879193,maintenance code violation,Open,2021
792,1033,WHEELER AVENUE,10472,BRONX,40.824539,-73.879193,maintenance code violation,Open,2021
793,1033,WHEELER AVENUE,10472,BRONX,40.824539,-73.879193,maintenance code violation,Open,2021
794,201,SHERMAN AVENUE,10034,MANHATTAN,40.865381,-73.921101,maintenance code violation,Close,2013
795,244,EAST 79 STREET,10075,MANHATTAN,40.773836,-73.956259,maintenance code violation,Close,2019
796,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
797,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
798,1807,PHELAN PLACE,10453,BRONX,40.852484,-73.917125,maintenance code violation,Close,2013
799,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
800,201,SHERMAN AVENUE,10034,MANHATTAN,40.865381,-73.921101,maintenance code violation,Close,2013
801,269,LINDEN STREET,11237,BROOKLYN,40.697737,-73.915157,maintenance code violation,Close,2013
802,20,SHERMAN AVENUE,10040,MANHATTAN,40.862669,-73.928479,maintenance code violation,Close,2019
803,244,EAST 79 STREET,10075,MANHATTAN,40.773836,-73.956259,maintenance code violation,Close,2019
